3 3 3 2 3 3 3 3 3 2 1 1 2 3 3 3 3 3 2 3
2 2 2 2 2 2 2 2 2 2 1 1 2 2 2 2 2 2 2 2
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
2 0 0 0 e f f g 0 0 0 0 e f f g 0 0 0 2
2 0 0 0 h i i j 0 0 0 0 h i i j 0 0 0 2
2 0 0 0 b a c d 0 0 0 0 b a c d 0 0 0 2
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
2 0 0 0 0 0 0 0 0 0 e f f f f g 0 0 0 2
2 0 0 0 0 0 0 0 0 0 h i i i i j 0 0 0 2
2 0 0 0 0 0 0 0 0 0 b c a c c d 0 0 0 2
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2
2 0 0 0 8 5 5 9 0 0 0 0 0 0 0 0 0 0 0 2
2 0 0 0 6 4 4 7 0 0 0 0 0 0 0 0 0 0 0 2
2 0 0 0 6 4 4 7 0 0 0 0 0 0 0 0 0 0 0 2
2 2 0 0 6 4 4 7 2 2 2 2 2 2 2 2 2 2 2 2
